GRIDCODE	lat	lat.t	long	SST	Prod	Dist_Coast	N	niche.mean	niche.med	niche.sd	niche.min	niche.max	niche.range	bio
335	-3	87	-24	26.5	-0.07	1278	132	0.13	0.1	0.08	0.03	0.35	0.32	0.31
336	-3	87	-16	26.1	-0.08	1200	127	0.13	0.1	0.09	0.03	0.39	0.35	0.31
337	-3	87	-8	25.4	-0.06	856	109	0.16	0.13	0.09	0.03	0.45	0.42	0.34
338	-3	87	0	25.7	-0.02	920	1396	0.17	0.13	0.12	0.03	0.84	0.81	0.34
339	-3	87	8	26.1	-0.09	207	420	0.15	0.13	0.1	0.03	0.71	0.68	0.4
340	-3	87	16	24.6	0.02	0	258	0.16	0.13	0.09	0.03	0.45	0.42	0.26
343	-3	87	40	27	-0.09	0	531	0.13	0.13	0.08	0.03	0.39	0.35	0.46
344	-3	87	48	27.5	-0.1	720	66	0.16	0.13	0.1	0.03	0.39	0.35	0.39
345	-3	87	56	28.4	-0.1	116	526	0.13	0.13	0.08	0.03	0.45	0.42	0.41
346	-3	87	64	28.7	-0.12	924	124	0.13	0.13	0.08	0.03	0.35	0.32	0.29
347	-3	87	72	28.8	-0.04	411	354	0.12	0.1	0.08	0.03	0.39	0.35	0.39
348	-3	87	80	28.8	-0.06	850	20	0.18	0.18	0.08	0.03	0.35	0.32	0.3
349	-3	87	88	29	-0.02	1204	61	0.15	0.13	0.08	0.03	0.35	0.32	0.3
350	-3	87	96	28.7	-0.04	400	95	0.14	0.13	0.08	0.03	0.39	0.35	0.48
351	-3	87	104	28.8	0.2	0	415	0.11	0.1	0.08	0.03	0.35	0.32	0.61
352	-3	87	112	27.8	0.26	0	122	0.11	0.1	0.08	0.03	0.39	0.35	0.52
353	-3	87	120	28.9	0.07	0	455	0.11	0.1	0.07	0.03	0.39	0.35	0.55
354	-3	87	128	28.5	0.11	0	674	0.11	0.1	0.08	0.03	0.39	0.35	0.57
355	-3	87	136	29.2	-0.09	0	258	0.1	0.1	0.07	0.03	0.39	0.35	0.56
356	-3	87	144	29.2	-0.11	12	650	0.12	0.1	0.08	0.03	0.39	0.35	0.54
357	-3	87	152	29.4	-0.09	0	659	0.12	0.1	0.08	0.03	0.39	0.35	0.52
358	-3	87	160	29.4	-0.07	592	39	0.16	0.16	0.09	0.03	0.39	0.35	0.42
359	-3	87	168	29.2	-0.11	969	71	0.14	0.13	0.09	0.03	0.35	0.32	0.37
360	-3	87	176	28.6	0	87.85	70	0.17	0.16	0.08	0.03	0.39	0.35	0.36
361	-11	79	-176	28.8	-0.05	445	247	0.12	0.13	0.08	0.03	0.39	0.35	0.39
362	-11	79	-168	28.7	-0.03	487	204	0.13	0.13	0.08	0.03	0.39	0.35	0.35
363	-11	79	-160	28.8	-0.14	1263	56	0.16	0.15	0.09	0.03	0.39	0.35	0.32
364	-11	79	-152	28.6	-0.2	759	68	0.14	0.13	0.08	0.03	0.35	0.32	0.33
365	-11	79	-144	28.1	-0.17	576	294	0.14	0.13	0.08	0.03	0.39	0.35	0.34
366	-11	79	-136	27.8	-0.19	305	215	0.13	0.13	0.08	0.03	0.39	0.35	0.32
367	-11	79	-128	26.8	-0.08	1194	8	0.21	0.21	0.09	0.03	0.35	0.32	0.28
368	-11	79	-120	26.4	-0.14	2072	11	0.23	0.23	0.12	0.03	0.48	0.45	0.29
369	-11	79	-112	25	-0.14	2544	12	0.18	0.18	0.08	0.06	0.35	0.29	0.3
370	-11	79	-104	23.9	-0.13	1828	8	0.22	0.21	0.06	0.16	0.35	0.19	0.29
371	-11	79	-96	23.4	-0.09	1757	12	0.18	0.19	0.09	0.03	0.35	0.32	0.3
372	-11	79	-88	22.7	-0.05	1065	9	0.22	0.23	0.14	0.03	0.48	0.45	0.27
373	-11	79	-80	21.3	-0.05	254	83	0.15	0.13	0.09	0.03	0.39	0.35	0.32
374	-11	79	-72	18.9	0.52	0	12	0.16	0.13	0.09	0.06	0.35	0.29	0.22
378	-11	79	-40	27	-0.08	0	208	0.19	0.16	0.12	0.03	0.84	0.81	0.33
379	-11	79	-32	25.7	-0.03	474	182	0.18	0.16	0.11	0.03	0.55	0.52	0.37
380	-11	79	-24	25.7	-0.1	1259	90	0.14	0.1	0.09	0.03	0.45	0.42	0.3
381	-11	79	-16	25.2	-0.12	2120	101	0.15	0.13	0.1	0.03	0.58	0.55	0.32
382	-11	79	-8	23.8	-0.14	2242	87	0.13	0.1	0.09	0.03	0.42	0.39	0.3
383	-11	79	0	23	-0.12	1380	66	0.17	0.16	0.1	0.03	0.39	0.35	0.29
384	-11	79	8	23.4	-0.07	560	134	0.15	0.13	0.09	0.03	0.45	0.42	0.38
385	-11	79	16	24.5	-0.1	0	262	0.16	0.13	0.1	0.03	0.55	0.52	0.35
388	-11	79	40	27.3	-0.01	0	561	0.13	0.13	0.08	0.03	0.39	0.35	0.48
389	-11	79	48	27.8	-0.11	70	654	0.12	0.13	0.08	0.03	0.71	0.68	0.48
390	-11	79	56	26.5	0	696	170	0.13	0.13	0.08	0.03	0.35	0.32	0.42
391	-11	79	64	27.1	-0.07	753	293	0.14	0.13	0.08	0.03	0.39	0.35	0.33
392	-11	79	72	27.2	0.1	531	101	0.15	0.16	0.09	0.03	0.35	0.32	0.35
393	-11	79	80	27.4	-0.05	1050	14	0.21	0.21	0.08	0.1	0.35	0.26	0.27
394	-11	79	88	27.5	-0.11	962	12	0.22	0.21	0.08	0.1	0.35	0.26	0.27
395	-11	79	96	27.7	0.03	102	207	0.14	0.13	0.08	0.03	0.39	0.35	0.34
396	-11	79	104	27.8	0.12	203	330	0.12	0.1	0.08	0.03	0.39	0.35	0.54
397	-11	79	112	28	-0.05	335	363	0.12	0.1	0.08	0.03	0.39	0.35	0.59
398	-11	79	120	28.3	-0.07	126	723	0.11	0.1	0.08	0.03	0.39	0.35	0.62
399	-11	79	128	27.7	-0.13	238	569	0.12	0.1	0.08	0.03	0.39	0.35	0.59
400	-11	79	136	27.7	-0.18	21	425	0.13	0.13	0.08	0.03	0.39	0.35	0.54
401	-11	79	144	27	-0.09	2	989	0.12	0.1	0.08	0.03	0.39	0.35	0.64
402	-11	79	152	27.4	0	20	425	0.13	0.13	0.08	0.03	0.39	0.35	0.59
403	-11	79	160	28.6	-0.06	7	460	0.11	0.1	0.08	0.03	0.39	0.35	0.49
404	-11	79	168	28.6	-0.09	119	513	0.12	0.1	0.08	0.03	0.39	0.35	0.46
405	-11	79	176	28.6	-0.04	632	268	0.13	0.13	0.08	0.03	0.39	0.35	0.39
406	-20	70	-176	27.5	-0.1	94	450	0.12	0.1	0.08	0.03	0.39	0.35	0.4
407	-20	70	-168	27.5	-0.03	204	17	0.16	0.16	0.08	0.03	0.35	0.32	0.35
408	-20	70	-160	27.5	-0.07	92	134	0.14	0.13	0.08	0.03	0.35	0.32	0.31
409	-20	70	-152	27.5	-0.13	338	380	0.13	0.13	0.08	0.03	0.39	0.35	0.33
410	-20	70	-144	27.3	-0.11	98.9	214	0.14	0.13	0.08	0.03	0.39	0.35	0.33
411	-20	70	-136	27	-0.11	135	214	0.13	0.13	0.08	0.03	0.39	0.35	0.28
412	-20	70	-128	26.6	0	506	66	0.12	0.1	0.08	0.03	0.39	0.35	0.27
413	-20	70	-120	25.9	-0.13	990	8	0.26	0.23	0.11	0.16	0.48	0.32	0.25
414	-20	70	-112	24.7	-0.16	3838	7	0.22	0.23	0.08	0.1	0.35	0.26	0.25
415	-20	70	-104	23.4	-0.16	3046	7	0.23	0.23	0.07	0.16	0.35	0.19	0.24
416	-20	70	-96	22.6	-0.1	2207	12	0.23	0.21	0.11	0.1	0.48	0.39	0.25
417	-20	70	-88	21.5	-0.07	1435	11	0.18	0.19	0.09	0.03	0.35	0.32	0.27
418	-20	70	-80	20.3	-0.08	704	67	0.15	0.13	0.09	0.03	0.35	0.32	0.34
419	-20	70	-72	19.1	-0.01	185	57	0.17	0.13	0.1	0.03	0.39	0.35	0.3
422	-20	70	-48	26.5	-0.04	0	207	0.18	0.16	0.11	0.03	0.84	0.81	0.28
423	-20	70	-40	26.5	-0.13	0	389	0.17	0.16	0.11	0.03	0.84	0.81	0.38
424	-20	70	-32	26.1	-0.09	802	170	0.15	0.13	0.1	0.03	0.58	0.55	0.32
425	-20	70	-24	24.9	-0.13	1606	9	0.21	0.23	0.09	0.06	0.35	0.29	0.26
426	-20	70	-16	24.2	-0.12	1171	11	0.21	0.23	0.08	0.03	0.35	0.32	0.27
427	-20	70	-8	22.9	-0.12	477	131	0.15	0.13	0.1	0.03	0.58	0.55	0.29
428	-20	70	0	21.9	-0.08	704	106	0.16	0.13	0.1	0.03	0.39	0.35	0.26
429	-20	70	8	20.7	-0.07	443	167	0.17	0.16	0.1	0.03	0.42	0.39	0.37
430	-20	70	16	17.4	0.27	0	159	0.18	0.16	0.11	0.03	0.55	0.52	0.33
432	-20	70	32	26.2	0.06	0	352	0.13	0.13	0.08	0.03	0.39	0.35	0.41
433	-20	70	40	27	-0.06	386	579	0.13	0.13	0.08	0.03	0.58	0.55	0.49
434	-20	70	48	27.2	-0.04	0	83	0.15	0.13	0.08	0.03	0.42	0.39	0.47
435	-20	70	56	25.7	-0.05	155	585	0.13	0.13	0.08	0.03	0.39	0.35	0.44
436	-20	70	64	25.7	-0.05	54	207	0.13	0.13	0.08	0.03	0.35	0.32	0.35
437	-20	70	72	26	-0.03	898	10	0.22	0.21	0.07	0.13	0.35	0.23	0.26
438	-20	70	80	25.5	-0.05	1739	7	0.21	0.19	0.08	0.1	0.35	0.26	0.25
439	-20	70	88	25.8	-0.13	1271	6	0.23	0.21	0.07	0.16	0.35	0.19	0.25
440	-20	70	96	25.1	-0.05	879	9	0.22	0.19	0.07	0.13	0.35	0.23	0.26
441	-20	70	104	25.6	0.03	1065	15	0.22	0.23	0.07	0.06	0.35	0.29	0.28
442	-20	70	112	26.6	-0.01	316	670	0.12	0.13	0.08	0.03	0.42	0.39	0.52
443	-20	70	120	27.6	-0.01	22	861	0.12	0.1	0.08	0.03	0.42	0.39	0.54
444	-20	70	128	27.6	-0.02	0	100	0.12	0.13	0.07	0.03	0.39	0.35	0.31
445	-20	70	136	27.7	-0.06	0	183	0.13	0.13	0.08	0.03	0.39	0.35	0.27
446	-20	70	144	27.5	-0.05	0	919	0.12	0.1	0.08	0.03	0.42	0.39	0.58
447	-20	70	152	26.3	-0.01	163	814	0.12	0.1	0.08	0.03	0.42	0.39	0.62
448	-20	70	160	26.7	-0.01	120	162	0.11	0.1	0.07	0.03	0.35	0.32	0.51
449	-20	70	168	27.1	-0.1	132	851	0.11	0.1	0.08	0.03	0.39	0.35	0.51
450	-20	70	176	27.1	-0.11	230	577	0.12	0.1	0.08	0.03	0.55	0.52	0.43
451	-29	61	-176	22.2	-0.15	1202	53	0.17	0.16	0.1	0.03	0.39	0.35	0.32
452	-29	61	-168	22	-0.06	1198	8	0.19	0.19	0.08	0.1	0.35	0.26	0.28
453	-29	61	-160	21.7	-0.15	811	6	0.23	0.21	0.07	0.16	0.35	0.19	0.25
454	-29	61	-152	21.5	-0.12	760	12	0.19	0.19	0.08	0.03	0.35	0.32	0.25
455	-29	61	-144	21.9	-0.14	108	101	0.13	0.13	0.08	0.03	0.35	0.32	0.26
456	-29	61	-136	22.7	-0.09	909	15	0.19	0.19	0.08	0.03	0.35	0.32	0.25
457	-29	61	-128	22.9	-0.1	474	10	0.16	0.18	0.11	0.03	0.35	0.32	0.26
458	-29	61	-120	22.9	-0.07	945	8	0.2	0.21	0.09	0.03	0.35	0.32	0.24
459	-29	61	-112	22.9	0.09	300	26	0.18	0.16	0.08	0.03	0.35	0.32	0.24
460	-29	61	-104	21.8	-0.01	551	10	0.21	0.21	0.11	0.03	0.35	0.32	0.22
461	-29	61	-96	20.9	-0.01	2400	54	0.15	0.13	0.1	0.03	0.45	0.42	0.21
462	-29	61	-88	19.3	-0.1	1606	86	0.16	0.16	0.09	0.03	0.35	0.32	0.26
463	-29	61	-80	19	0.02	827	57	0.19	0.16	0.11	0.03	0.58	0.55	0.26
464	-29	61	-72	16.2	-0.08	68	63	0.18	0.16	0.1	0.03	0.42	0.39	0.28
466	-29	61	-56	23	-0.12	0	25	0.17	0.16	0.08	0.03	0.39	0.35	0.27
467	-29	61	-48	23	-0.26	73	345	0.17	0.16	0.11	0.03	0.84	0.81	0.44
468	-29	61	-40	23.1	-0.12	646	141	0.14	0.1	0.09	0.03	0.35	0.32	0.37
469	-29	61	-32	23.1	0.03	1180	80	0.18	0.16	0.11	0.03	0.58	0.55	0.28
470	-29	61	-24	22.7	-0.11	1890	38	0.17	0.16	0.1	0.03	0.35	0.32	0.26
471	-29	61	-16	22.3	-0.1	2587	11	0.19	0.19	0.1	0.03	0.35	0.32	0.27
472	-29	61	-8	21.8	-0.16	2283	17	0.21	0.19	0.09	0.03	0.35	0.32	0.26
473	-29	61	0	20.1	-0.09	1508	96	0.15	0.1	0.1	0.03	0.35	0.32	0.28
474	-29	61	8	19.3	-0.1	732	138	0.16	0.13	0.1	0.03	0.42	0.39	0.33
475	-29	61	16	15.1	-0.18	25	289	0.16	0.13	0.1	0.03	0.58	0.55	0.4
476	-29	61	24	22	-0.06	0	206	0.16	0.13	0.09	0.03	0.42	0.39	0.29
477	-29	61	32	23.6	-0.06	0	898	0.13	0.13	0.09	0.03	0.58	0.55	0.57
478	-29	61	40	24	-0.05	605	77	0.18	0.16	0.09	0.03	0.39	0.35	0.5
479	-29	61	48	24.2	-0.02	395	179	0.16	0.13	0.09	0.03	0.42	0.39	0.45
480	-29	61	56	23.3	0	982	60	0.19	0.16	0.1	0.03	0.39	0.35	0.31
481	-29	61	64	22.7	0.01	1100	77	0.16	0.13	0.1	0.03	0.35	0.32	0.29
482	-29	61	72	22	-0.14	1718	12	0.22	0.21	0.09	0.06	0.35	0.29	0.28
483	-29	61	80	21.1	-0.11	1926	9	0.18	0.19	0.1	0.03	0.35	0.32	0.28
484	-29	61	88	21	-0.11	2544	37	0.19	0.19	0.1	0.03	0.42	0.39	0.28
485	-29	61	96	20.8	-0.07	1761	36	0.18	0.16	0.09	0.03	0.39	0.35	0.28
486	-29	61	104	20.9	-0.08	991	34	0.18	0.16	0.09	0.03	0.35	0.32	0.29
487	-29	61	112	22.2	0.03	160	573	0.13	0.13	0.09	0.03	0.42	0.39	0.6
489	-29	61	128	22.5	0.06	0	86	0.17	0.16	0.11	0.03	0.39	0.35	0.3
490	-29	61	136	22.5	-0.02	0	64	0.14	0.1	0.1	0.03	0.39	0.35	0.3
492	-29	61	152	23.1	-0.07	0	755	0.13	0.13	0.08	0.03	0.42	0.39	0.63
493	-29	61	160	22.4	0.01	629	389	0.13	0.13	0.09	0.03	0.39	0.35	0.47
494	-29	61	168	22.2	-0.06	50	249	0.14	0.13	0.09	0.03	0.42	0.39	0.43
495	-29	61	176	22.5	-0.03	717	71	0.17	0.16	0.11	0.03	0.39	0.35	0.34
496	-38	52	-176	17.6	-0.3	483	102	0.17	0.16	0.09	0.03	0.39	0.35	0.28
497	-38	52	-168	16.8	-0.07	1184	15	0.2	0.19	0.07	0.1	0.35	0.26	0.23
498	-38	52	-160	16.9	-0.12	1899	12	0.17	0.16	0.08	0.06	0.35	0.29	0.22
499	-38	52	-152	16.3	-0.06	2577	24	0.24	0.27	0.1	0.03	0.35	0.32	0.21
500	-38	52	-144	16.1	-0.19	3280	28	0.25	0.29	0.1	0.03	0.39	0.35	0.21
501	-38	52	-136	16.2	0	3896	28	0.24	0.29	0.09	0.03	0.35	0.32	0.2
502	-38	52	-128	15.6	-0.08	4600	39	0.22	0.26	0.11	0.03	0.35	0.32	0.19
503	-38	52	-120	15.9	-0.08	3700	12	0.24	0.23	0.1	0.06	0.35	0.29	0.18
504	-38	52	-112	16.2	0.06	3397	5	0.23	0.23	0.07	0.16	0.35	0.19	0.19
505	-38	52	-104	16.3	-0.16	2500	14	0.22	0.21	0.09	0.06	0.35	0.29	0.19
506	-38	52	-96	16.7	-0.21	1910	31	0.19	0.19	0.11	0.03	0.35	0.32	0.19
507	-38	52	-88	16.7	-0.17	811	57	0.16	0.13	0.1	0.03	0.35	0.32	0.2
508	-38	52	-80	16.3	-0.27	490	83	0.19	0.19	0.11	0.03	0.45	0.42	0.22
509	-38	52	-72	13.6	0.36	0	79	0.18	0.16	0.1	0.03	0.42	0.39	0.2
510	-38	52	-64	15.3	0	0	49	0.19	0.16	0.12	0.03	0.42	0.39	0.2
511	-38	52	-56	13.8	-0.16	135	197	0.18	0.16	0.12	0.03	0.61	0.58	0.32
512	-38	52	-48	18.6	-0.17	782	195	0.17	0.16	0.11	0.03	0.48	0.45	0.37
513	-38	52	-40	17.4	-0.19	1324	117	0.18	0.16	0.11	0.03	0.48	0.45	0.27
514	-38	52	-32	17.4	-0.01	1945	75	0.17	0.13	0.11	0.03	0.45	0.42	0.25
515	-38	52	-24	17.1	-0.18	2605	67	0.16	0.13	0.1	0.03	0.35	0.32	0.23
516	-38	52	-16	16.6	-0.63	3125	82	0.17	0.13	0.1	0.03	0.42	0.39	0.26
517	-38	52	-8	16.3	-0.23	2410	60	0.2	0.19	0.12	0.03	0.55	0.52	0.26
518	-38	52	0	15.4	-0.03	1723	93	0.17	0.13	0.11	0.03	0.39	0.35	0.3
519	-38	52	8	15.9	0.01	1029	108	0.16	0.13	0.11	0.03	0.48	0.45	0.35
520	-38	52	16	19	-0.12	507	434	0.16	0.13	0.1	0.03	0.55	0.52	0.47
521	-38	52	24	19.2	-0.15	460	466	0.15	0.13	0.09	0.03	0.55	0.52	0.49
522	-38	52	32	19.1	-0.11	700	93	0.17	0.16	0.09	0.03	0.35	0.32	0.41
523	-38	52	40	18.8	-0.02	1254	95	0.18	0.16	0.1	0.03	0.42	0.39	0.32
524	-38	52	48	17.2	0.02	1431	92	0.19	0.16	0.1	0.03	0.45	0.42	0.31
525	-38	52	56	17.2	-0.01	1549	62	0.19	0.19	0.11	0.03	0.42	0.39	0.28
526	-38	52	64	16.4	-0.02	1243	35	0.22	0.26	0.1	0.03	0.35	0.32	0.27
527	-38	52	72	15.9	-0.18	1188	18	0.17	0.19	0.1	0.03	0.35	0.32	0.26
528	-38	52	80	15.4	-0.16	1458	106	0.18	0.16	0.11	0.03	0.42	0.39	0.26
529	-38	52	88	14.9	-0.22	2455	11	0.21	0.23	0.1	0.03	0.35	0.32	0.25
530	-38	52	96	14.6	-0.11	1772	11	0.23	0.23	0.08	0.1	0.35	0.26	0.25
531	-38	52	104	15	-0.11	1082	10	0.21	0.21	0.1	0.03	0.35	0.32	0.27
532	-38	52	112	16.4	-0.13	516	179	0.16	0.16	0.1	0.03	0.48	0.45	0.45
533	-38	52	120	16.3	-0.17	380	188	0.17	0.16	0.1	0.03	0.42	0.39	0.36
534	-38	52	128	15.7	-0.12	620	133	0.17	0.16	0.1	0.03	0.39	0.35	0.32
535	-38	52	136	17	-0.04	250	227	0.16	0.16	0.1	0.03	0.45	0.42	0.36
536	-38	52	144	15.8	-0.05	0	261	0.15	0.13	0.1	0.03	0.42	0.39	0.36
537	-38	52	152	19.6	-0.02	196	730	0.14	0.13	0.1	0.03	0.74	0.71	0.51
538	-38	52	160	17.7	-0.05	882	137	0.18	0.16	0.1	0.03	0.39	0.35	0.31
539	-38	52	168	17.1	-0.1	510	160	0.17	0.16	0.1	0.03	0.39	0.35	0.36
540	-38	52	176	18	-0.16	0	205	0.16	0.13	0.1	0.03	0.55	0.52	0.37
541	-49	41	-176	10.7	0.07	601	104	0.17	0.16	0.1	0.03	0.39	0.35	0.2
542	-49	41	-168	11.5	-0.14	850	25	0.22	0.23	0.12	0.03	0.39	0.35	0.15
543	-49	41	-160	11.2	-0.22	1405	25	0.28	0.29	0.11	0.06	0.48	0.42	0.14
544	-49	41	-152	10.6	0.04	1943	15	0.32	0.35	0.1	0.16	0.48	0.32	0.14
545	-49	41	-144	10.6	-0.1	2508	23	0.27	0.29	0.12	0.06	0.48	0.42	0.14
546	-49	41	-136	9.8	0.06	3109	13	0.23	0.23	0.1	0.06	0.39	0.32	0.15
547	-49	41	-128	10.6	-0.04	3670	18	0.31	0.35	0.12	0.03	0.48	0.45	0.15
548	-49	41	-120	10	-0.05	3120	24	0.29	0.32	0.12	0.03	0.48	0.45	0.13
549	-49	41	-112	9	-0.19	2593	10	0.3	0.34	0.1	0.06	0.39	0.32	0.14
550	-49	41	-104	9.2	-0.06	2032	14	0.3	0.34	0.14	0.03	0.48	0.45	0.13
551	-49	41	-96	9.1	-0.18	1465	10	0.34	0.35	0.08	0.19	0.48	0.29	0.13
552	-49	41	-88	10.4	-0.1	890	14	0.29	0.31	0.09	0.06	0.39	0.32	0.14
553	-49	41	-80	10.4	-0.19	320	34	0.26	0.29	0.13	0.03	0.48	0.45	0.18
554	-49	41	-72	10.7	-0.07	0	57	0.22	0.23	0.13	0.03	0.48	0.45	0.2
555	-49	41	-64	10.3	-0.2	210	79	0.22	0.19	0.14	0.03	0.74	0.71	0.21
556	-49	41	-56	8.6	-0.23	251	96	0.22	0.21	0.13	0.03	0.61	0.58	0.23
557	-49	41	-48	10.9	-0.17	727	68	0.25	0.26	0.13	0.03	0.48	0.45	0.2
558	-49	41	-40	9.1	-0.19	522	116	0.25	0.26	0.13	0.03	0.61	0.58	0.21
559	-49	41	-32	6.7	-0.22	617	64	0.29	0.29	0.12	0.03	0.61	0.58	0.19
560	-49	41	-24	6.5	-0.37	837	26	0.27	0.32	0.13	0.03	0.48	0.45	0.18
561	-49	41	-16	5.8	-0.31	1086	13	0.29	0.26	0.12	0.06	0.48	0.42	0.17
562	-49	41	-8	3.8	0.08	954	9	0.3	0.29	0.1	0.19	0.45	0.26	0.17
563	-49	41	0	5.4	0.02	590	32	0.28	0.29	0.13	0.03	0.61	0.58	0.21
564	-49	41	8	5.5	-0.27	621	15	0.29	0.29	0.14	0.03	0.61	0.58	0.22
565	-49	41	16	5.6	-0.02	1027	14	0.24	0.23	0.11	0.03	0.42	0.39	0.19
566	-49	41	24	5	-0.05	1050	14	0.24	0.23	0.12	0.06	0.45	0.39	0.2
567	-49	41	32	5.9	-0.1	512	11	0.19	0.19	0.09	0.03	0.35	0.32	0.22
568	-49	41	40	5.3	-0.05	328	34	0.27	0.29	0.13	0.03	0.61	0.58	0.21
569	-49	41	48	5.2	0.05	439	48	0.26	0.31	0.14	0.03	0.61	0.58	0.2
570	-49	41	56	7	-0.17	434	11	0.27	0.26	0.08	0.16	0.39	0.23	0.2
571	-49	41	64	6	-0.05	339	65	0.23	0.23	0.13	0.03	0.61	0.58	0.2
572	-49	41	72	3.9	-0.06	106	96	0.23	0.24	0.13	0.03	0.61	0.58	0.2
573	-49	41	80	7.4	-0.32	600	28	0.3	0.34	0.14	0.03	0.61	0.58	0.19
574	-49	41	88	7.6	-0.06	1060	4	0.19	0.21	0.06	0.1	0.23	0.13	0.17
575	-49	41	96	6.7	0.04	1589	12	0.32	0.35	0.11	0.16	0.48	0.32	0.18
576	-49	41	104	7.1	0.06	1920	7	0.29	0.35	0.12	0.13	0.45	0.32	0.18
577	-49	41	112	7.6	-0.18	1654	4	0.26	0.21	0.11	0.19	0.42	0.23	0.18
578	-49	41	120	9	-0.17	1600	21	0.31	0.35	0.13	0.03	0.48	0.45	0.19
579	-49	41	128	9.6	-0.1	1541	28	0.27	0.31	0.14	0.03	0.48	0.45	0.19
580	-49	41	136	10.1	-0.08	1013	19	0.32	0.35	0.11	0.06	0.48	0.42	0.21
581	-49	41	144	10.2	-0.19	677	184	0.18	0.16	0.11	0.03	0.48	0.45	0.33
582	-49	41	152	11.1	-0.15	759	142	0.19	0.16	0.11	0.03	0.48	0.45	0.31
583	-49	41	160	11.7	-0.02	445	93	0.24	0.26	0.13	0.03	0.61	0.58	0.26
584	-49	41	168	12.1	-0.24	169	124	0.19	0.16	0.11	0.03	0.45	0.42	0.28
585	-49	41	176	10	0.08	198	126	0.19	0.16	0.11	0.03	0.39	0.35	0.27
586	-65	25	-176	-0.2	0.56	880	26	0.3	0.32	0.14	0.1	0.61	0.52	0.14
587	-65	25	-168	-0.3	0.28	1100	2	0.39	0.39	0	0.39	0.39	0	0.13
588	-65	25	-160	-0.2	0.2	1359	13	0.36	0.35	0.06	0.26	0.48	0.23	0.13
589	-65	25	-152	-0.5	0.1	1087	12	0.36	0.37	0.09	0.1	0.48	0.39	0.14
590	-65	25	-144	-0.4	0.13	1018	13	0.36	0.35	0.06	0.26	0.48	0.23	0.14
591	-65	25	-136	-0.3	0.03	950	19	0.33	0.35	0.1	0.1	0.48	0.39	0.14
592	-65	25	-128	-0.8	0.37	868	16	0.35	0.37	0.09	0.1	0.48	0.39	0.14
593	-65	25	-120	-0.7	0.33	852	25	0.3	0.35	0.13	0.06	0.48	0.42	0.14
594	-65	25	-112	-0.2	0.65	831	29	0.27	0.32	0.13	0.06	0.48	0.42	0.14
595	-65	25	-104	0	0.08	729	30	0.27	0.32	0.13	0.06	0.48	0.42	0.14
596	-65	25	-96	-0.3	0.19	721	23	0.31	0.32	0.12	0.06	0.48	0.42	0.15
597	-65	25	-88	-0.2	0.05	400	26	0.29	0.32	0.13	0.06	0.48	0.42	0.15
598	-65	25	-80	-0.4	0.26	552	33	0.3	0.35	0.13	0.06	0.48	0.42	0.15
599	-65	25	-72	-0.5	0.09	242	49	0.3	0.32	0.13	0.06	0.61	0.55	0.19
600	-65	25	-64	0.1	0.05	1	88	0.27	0.26	0.13	0.03	0.61	0.58	0.19
601	-65	25	-56	-1.4	-0.45	93	95	0.25	0.26	0.14	0.03	0.61	0.58	0.17
602	-65	25	-48	-1.5	0.82	399	69	0.28	0.29	0.13	0.03	0.61	0.58	0.15
603	-65	25	-40	-0.9	0.6	545	47	0.28	0.29	0.14	0.03	0.61	0.58	0.15
604	-65	25	-32	-0.8	0.81	690	37	0.24	0.23	0.14	0.03	0.61	0.58	0.14
605	-65	25	-24	-0.1	1.06	670	69	0.27	0.26	0.14	0.03	0.61	0.58	0.14
606	-65	25	-16	-0.2	1.07	589	55	0.23	0.23	0.14	0.03	0.61	0.58	0.15
607	-65	25	-8	-0.5	0.13	504	47	0.25	0.23	0.12	0.03	0.48	0.45	0.14
608	-65	25	0	-0.5	0.21	414	7	0.38	0.35	0.2	0.16	0.77	0.61	0.14
609	-65	25	8	-0.3	0.14	473	8	0.27	0.31	0.16	0.03	0.45	0.42	0.13
610	-65	25	16	-0.1	0.16	412	6	0.31	0.35	0.16	0.1	0.45	0.35	0.13
611	-65	25	24	-0.2	0.2	531	4	0.37	0.4	0.1	0.23	0.45	0.23	0.13
612	-65	25	32	-0.2	0.23	380	7	0.35	0.39	0.12	0.1	0.45	0.35	0.13
613	-65	25	40	-0.1	0.36	306	9	0.37	0.39	0.14	0.03	0.48	0.45	0.12
614	-65	25	48	-0.7	0.03	144	12	0.34	0.37	0.12	0.06	0.48	0.42	0.12
615	-65	25	56	-0.6	0.18	85	21	0.32	0.39	0.16	0.1	0.61	0.52	0.12
616	-65	25	64	-0.2	0.14	272	42	0.27	0.26	0.14	0.03	0.48	0.45	0.12
617	-65	25	72	0	-0.06	258	72	0.25	0.23	0.14	0.03	0.61	0.58	0.12
618	-65	25	80	-0.4	0.07	100	56	0.26	0.24	0.14	0.03	0.61	0.58	0.12
619	-65	25	88	-0.8	-0.11	85	18	0.29	0.34	0.13	0.1	0.48	0.39	0.13
620	-65	25	96	-1.5	0.17	1	41	0.3	0.32	0.13	0.03	0.61	0.58	0.13
621	-65	25	104	-1.6	0.08	35	18	0.35	0.37	0.09	0.1	0.48	0.39	0.13
622	-65	25	112	-1.1	0.41	76	34	0.3	0.35	0.13	0.03	0.48	0.45	0.13
623	-65	25	120	-0.6	0.24	75	30	0.29	0.31	0.12	0.03	0.48	0.45	0.13
